method,power,fdp,seedB
vanilla,1,0.038461538461538464,1
multiple,1,0.0196078431372549,1
vanilla,0.98,0.07547169811320754,2
multiple,1,0.0196078431372549,2
vanilla,1,0.10714285714285714,3
multiple,1,0.0196078431372549,3
vanilla,1,0.12280701754385964,4
multiple,1,0.0196078431372549,4
vanilla,0.98,0.057692307692307696,5
multiple,1,0.0196078431372549,5
vanilla,0.98,0.07547169811320754,6
multiple,1,0.0196078431372549,6
vanilla,1,0.05660377358490566,7
multiple,1,0.0196078431372549,7
vanilla,1,0.038461538461538464,8
multiple,1,0.0196078431372549,8
vanilla,1,0.0196078431372549,9
multiple,1,0,9
vanilla,0.98,0.057692307692307696,10
multiple,1,0.0196078431372549,10
vanilla,0.96,0.02040816326530612,11
multiple,1,0.0196078431372549,11
vanilla,1,0.038461538461538464,12
multiple,1,0,12
vanilla,1,0.05660377358490566,13
multiple,1,0.0196078431372549,13
vanilla,0.94,0.06,14
multiple,1,0.0196078431372549,14
vanilla,0.96,0.12727272727272726,15
multiple,1,0.038461538461538464,15
vanilla,1,0.0196078431372549,16
multiple,1,0,16
vanilla,0.98,0.09259259259259259,17
multiple,1,0.0196078431372549,17
vanilla,1,0.09090909090909091,18
multiple,1,0,18
vanilla,0.96,0.058823529411764705,19
multiple,1,0.0196078431372549,19
vanilla,1,0.13793103448275862,20
multiple,1,0.0196078431372549,20
