method,power,fdp,seedB
vanilla,1,0.1452991452991453,1
multiple,1,0.0196078431372549,1
vanilla,0.99,0.04807692307692308,2
multiple,1,0.0196078431372549,2
vanilla,0.99,0.08333333333333333,3
multiple,1,0.009900990099009901,3
vanilla,0.99,0.11607142857142858,4
multiple,1,0.0196078431372549,4
vanilla,1,0.05660377358490566,5
multiple,1,0.0196078431372549,5
vanilla,1,0.09090909090909091,6
multiple,1,0.0196078431372549,6
vanilla,1,0.038461538461538464,7
multiple,1,0.0196078431372549,7
vanilla,1,0.05660377358490566,8
multiple,1,0.0196078431372549,8
vanilla,0.99,0.10810810810810811,9
multiple,1,0.0196078431372549,9
vanilla,1,0.10714285714285714,10
multiple,1,0.0196078431372549,10
vanilla,0.99,0.12389380530973451,11
multiple,1,0.0196078431372549,11
vanilla,0.98,0.0392156862745098,12
multiple,1,0.0196078431372549,12
vanilla,1,0.0990990990990991,13
multiple,1,0.0196078431372549,13
vanilla,0.98,0.09259259259259259,14
multiple,1,0.0196078431372549,14
vanilla,1,0.09090909090909091,15
multiple,1,0.0196078431372549,15
vanilla,1,0.10714285714285714,16
multiple,1,0.009900990099009901,16
vanilla,0.99,0.07476635514018691,17
multiple,1,0.009900990099009901,17
vanilla,0.99,0.11607142857142858,18
multiple,1,0.009900990099009901,18
vanilla,0.96,0.08571428571428572,19
multiple,1,0.0196078431372549,19
vanilla,1,0.06542056074766354,20
multiple,1,0.0196078431372549,20
