vkn,mkn,truth
1,0,0.18371173070873836
1,0,0
1,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
1,2,-0.18371173070873836
1,0,0
2,2,0.18371173070873836
0,0,0
0,0,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
1,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
1,0,-0.18371173070873836
0,0,0
0,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
1,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
0,0,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
0,0,0.18371173070873836
0,0,0
1,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
0,0,0.18371173070873836
0,0,0
1,0,-0.18371173070873836
0,0,0
0,0,0.18371173070873836
0,0,0
1,0,-0.18371173070873836
0,0,0
1,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
2,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
0,0,0.18371173070873836
0,0,0
1,0,-0.18371173070873836
1,0,0
2,0,0.18371173070873836
0,0,0
0,0,-0.18371173070873836
0,0,0
1,2,0.18371173070873836
0,0,0
2,2,-0.18371173070873836
0,0,0
