method,power,fdp,seedB
vanilla,0.275,0.08333333333333333,1
multiple,0,0,1
vanilla,0.2625,0.045454545454545456,2
multiple,0,0,2
vanilla,0.3125,0.13793103448275862,3
multiple,0.2625,0.08695652173913043,3
vanilla,0.375,0.09090909090909091,4
multiple,0,0,4
vanilla,0.475,0.19148936170212766,5
multiple,0,0,5
vanilla,0.225,0.1,6
multiple,0,0,6
vanilla,0.175,0,7
multiple,0,0,7
vanilla,0.3125,0.07407407407407407,8
multiple,0,0,8
vanilla,0.3,0.1111111111111111,9
multiple,0,0,9
vanilla,0.175,0,10
multiple,0,0,10
vanilla,0.3,0.2,11
multiple,0,0,11
vanilla,0.4125,0.1951219512195122,12
multiple,0,0,12
vanilla,0.3875,0.225,13
multiple,0.275,0.08333333333333333,13
vanilla,0.1375,0,14
multiple,0,0,14
vanilla,0.4875,0.1702127659574468,15
multiple,0,0,15
vanilla,0.4,0.2,16
multiple,0,0,16
vanilla,0.5,0.21568627450980393,17
multiple,0,0,17
vanilla,0.4125,0.23255813953488372,18
multiple,0,0,18
vanilla,0.3625,0.12121212121212122,19
multiple,0,0,19
vanilla,0.2125,0.15,20
multiple,0.25,0.047619047619047616,20
