method,power,fdp,v
mkn,0.8625,0.028169014084507043,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0.5,0,0.5
pkn,0.6125,0,0.75
pkn,0.725,0,1
pkn,0.75,0,1.25
pkn,0.8,0,1.5
pkn,0.8,0,1.75
pkn,0.825,0.014925373134328358,2
pkn,0.8375,0.014705882352941176,2.25
pkn,0.8375,0.014705882352941176,2.5
pkn,0.85,0.02857142857142857,2.75
pkn,0.85,0.02857142857142857,3
pkn,0.8625,0.028169014084507043,3.25
pkn,0.8625,0.028169014084507043,3.5
pkn,0.8875,0.0273972602739726,3.75
pkn,0.8875,0.0273972602739726,4
pkn,0.9,0.02702702702702703,4.25
pkn,0.9,0.05263157894736842,4.5
pkn,0.9,0.04,4.75
pkn,0.9,0.05263157894736842,5
